seed,size,dimension,clusters,rep,hdbscan_time,dbscan_time,adjusted_rand,hdbscan_min_samples,hdbscan_min_cluster_size,dbscan_epsilon,dbscan_min_samples,dbscan_num_cluster,hdbscan_num_clusters,cluster_rand,new_hdbscan_time,new_dbscan_time
721.0,1000,2,10,8.0,0.0161810559221,0.00651646405458,0.981775265752,5,5,0.968816927533,6.0,6,6,0.980144998023,0.018836323055438697,0.009498871047981083
811.0,1000,2,10,9.0,0.0162300518714,0.00737502006814,0.997975997179,5,5,1.22961327699,1.0,6,7,0.998651225073,0.017531624995172024,0.009081779047846794
634.0,1000,10,10,7.0,0.0162474678364,0.0180741599761,1.0,5,5,4.86713013712,4.0,9,9,1.0,0.017999700969085097,0.015635562944225967
541.0,1000,2,10,6.0,0.016263886122,0.00821596896276,0.995045513899,5,5,1.56828771594,9.0,4,5,0.996705291223,0.01797137106768787,0.012423210078850389
1.0,1000,2,10,0.0,0.0162958349101,0.00716828904115,0.965586342343,5,5,0.845466849753,1.0,14,5,0.966183961945,0.016370263998396695,0.0067446050234138966
451.0,1000,2,10,5.0,0.0164792730939,0.00942768994719,1.0,5,5,2.12396365112,10.0,2,2,1.0,0.020673720980994403,0.009688147925771773
181.0,1000,2,10,2.0,0.016496252967,0.00702828890644,0.985017783328,5,5,0.965830123746,10.0,6,6,0.984224127556,0.01651221001520753,0.006562154041603208
360.0,1000,2,2,4.0,0.0168227760587,0.0160336568952,1.0,5,5,2.06105060634,3.0,1,1,1.0,0.020449105999432504,0.017658842029049993
91.0,1000,2,10,1.0,0.0168394499924,0.00605237204581,0.857189059424,5,5,0.814834327556,10.0,8,9,0.899357190077,0.015992139000445604,0.0055987059604376554
631.0,1000,2,10,7.0,0.0168771459721,0.00649610394612,0.918821420763,5,5,0.848507417909,10.0,8,8,0.936936500977,0.01675158995203674,0.007838038029149175
361.0,1000,2,10,4.0,0.0170553370845,0.00642427010462,0.954878575198,5,5,0.879387301484,10.0,7,7,0.96303789071,0.01912517298478633,0.006564439972862601
810.0,1000,2,2,9.0,0.0171166351065,0.0141159810591,1.0,5,5,1.50483805027,6.0,1,1,1.0,0.017365965992212296,0.01326720102224499
362.0,1000,2,50,4.0,0.0171677460894,0.00551939988509,0.784793643788,5,5,0.864835416696,6.0,17,16,0.893607437986,0.018205470056273043,0.007926149992272258
271.0,1000,2,10,3.0,0.0173317429144,0.0110119271558,1.0,5,5,1.94046767678,1.0,3,3,1.0,0.020063027972355485,0.0116534479893744
2.0,1000,2,50,0.0,0.0175707160961,0.00895987916738,1.0,5,5,2.20643986399,10.0,1,1,1.0,0.01822213490959257,0.010204464895650744
270.0,1000,2,2,3.0,0.0176422921941,0.0145606969018,1.0,5,5,1.49437081329,3.0,1,1,1.0,0.01983564393594861,0.014670846983790398
