,x,y
0,500.0,0.9878799915313721
1,500.0,0.7692849636077881
2,500.0,0.9303340911865234
3,500.0,1.1605548858642578
4,500.0,0.565295934677124
5,1000.0,2.7360591888427734
6,1000.0,2.566149950027466
7,1000.0,1.8502330780029297
8,1000.0,2.054547071456909
9,1000.0,1.990149974822998
10,1500.0,2.989423990249634
11,1500.0,3.7141637802124023
12,1500.0,4.5626490116119385
13,1500.0,3.76497483253479
14,1500.0,7.303768157958984
15,2000.0,3.8558919429779053
16,2000.0,3.7812328338623047
17,2000.0,3.8511030673980713
18,2000.0,4.917650938034058
19,2000.0,8.619695901870728
20,2500.0,9.283482074737549
21,2500.0,6.6079230308532715
22,2500.0,11.580769062042236
23,2500.0,4.929915189743042
24,2500.0,8.546913862228394
25,3000.0,11.816043138504028
26,3000.0,14.773439884185791
27,3000.0,12.371665954589844
28,3000.0,11.140179872512817
29,3000.0,6.7657458782196045
30,4000.0,15.978018999099731
31,4000.0,11.720421075820923
32,4000.0,11.75110912322998
33,4000.0,13.680368900299072
34,4000.0,11.401773929595947
35,5000.0,31.15500497817993
36,5000.0,24.719671964645386
37,5000.0,13.75328803062439
38,5000.0,18.147323846817017
39,5000.0,30.631355047225952
40,6000.0,47.915077924728394
41,6000.0,22.97040891647339
42,6000.0,26.418813943862915
43,6000.0,26.964395999908447
44,6000.0,21.867902994155884
45,8000.0,51.37056303024292
46,8000.0,80.40065002441406
47,8000.0,48.16926908493042
48,8000.0,41.592491149902344
49,8000.0,57.53509712219238
50,10000.0,45.40399098396301
51,10000.0,61.4622528553009
52,10000.0,133.53526496887207
53,10000.0,
54,10000.0,
55,12000.0,
56,12000.0,
57,12000.0,
58,12000.0,
59,12000.0,
60,14000.0,
61,14000.0,
62,14000.0,
63,14000.0,
64,14000.0,
65,16000.0,
66,16000.0,
67,16000.0,
68,16000.0,
69,16000.0,
70,18000.0,
71,18000.0,
72,18000.0,
73,18000.0,
74,18000.0,
75,20000.0,
76,20000.0,
77,20000.0,
78,20000.0,
79,20000.0,
80,22000.0,
81,22000.0,
82,22000.0,
83,22000.0,
84,22000.0,
85,24000.0,
86,24000.0,
87,24000.0,
88,24000.0,
89,24000.0,
